name,tags
PALAU DELS MARTÍNEZ DE RAGA,historical art
PALAU DELS QUEIXAL O DELS TRÉNOR,historical
PALAU DE MONTORNÉS,historical
PALAU DE MONTORTAL,historical
PALAU DE LA MARQUESA DE COLOMINA,historical
PALAU MUNICIPAL DE L'EXPOSICIÓ,historical modern
BANCAIXA - CAIXA D'ESTALVIS DE VALÈNCIA,historical
CASA NATALÍCIA DE SANT VICENT FERRER - EL POUET,historical religious
PARRÒQUIA DE SANTA CECÍLIA,historical religious
PLAÇA DEL MERCAT,historical food
PORTAL DE LA VALLDIGNA,historical
PONT DELS SERRANS,historical gothic
PONT DE LA MAR,historical
PORT DE VALÈNCIA,modern
REIAL MONESTIR DE LA TRINITAT,historical religious
ANTIC SEMINARI CONCILIAR FACULTAT DE TEOLOGIA,historical religious science
TORRE DE SANT BERTOMEU,historical religious
UNIVERSITAT DE VALÈNCIA,historical science
TORRE DE LA POSADA DE L'ÀNGEL O TORRE DE L'ÀNGEL,historical
ESGLÉSIA PARROQUIAL DEL CRIST REDEMPTOR EL CABANYAL,historical religious
ESGLÉSIA PARROQUIAL DE JESÚS MESTRE,historical religious
ESGLÉSIA PARROQUIAL DE L'ÀNGEL CUSTODI,historical religious
ESGLÉSIA PARROQUIAL DE L'ANTIC CONVENT DE SANTA MARIA DE JESÚS,historical religious
ESGLÉSIA PARROQUIAL DE LA PASSIÓ DEL SENYOR,historical religious
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DE LA FONTSANTA,historical religious
ESGLÉSIA PARROQUIAL DELS SANTS ABDÓ I SENENT,historical religious
ESGLÉSIA PARROQUIAL DEL PATRIARCA SANT JOSEP,historical religious
ESGLÉSIA PARROQUIAL DE MARIA MARE DE CRIST (PINEDO),historical religious
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DE GRÀCIA - LA TORRE,historical religious
ESCORXADOR MUNICIPAL,historical
MERCAT D'ABASTOS,historical food
MONESTIR DE SANTA CLARA - CLARISSES CAPUTXINES,historical religious
MONUMENT A L'ARQUEBISBE OLAECHEA,historical religious art
CASA MUSEU CONCHA PIQUER,museum historical art
MUSEU FALLER,museum historical art
MUSEU DE LA SETMANA SANTA MARINERA,museum historical religious art
PALAU ARQUEBISBAL,historical religious
PALAU D'ARIZA,historical
ANTIC SEMINARI CONCILIAR - FACULTAT DE TEOLOGIA,historical religious science
ARXIU DEL REGNE DE VALÈNCIA,historical science
ASIL D'ANCIANS DESEMPARATS,historical
ASIL I ESGLÉSIA DE SANTA MÒNICA,historical religious
ASIL I COL·LEGI DE SANT JOAN BAPTISTA,historical religious science
FÀBRICA DE TABAC,historical
BIBLIOTECA MUNICIPAL,historical science
CARRER DELS CAVALLERS,historical
CAPELLA DE SANT VALERI,historical religious
